148.85 ,	'2021-11-20	10:07'
148.894,	'2021-11-21	17:43'
148.969,	'2021-11-22	23:34'
148.994,	'2021-11-23	18:29'
149.125,	'2021-11-24	18:28'
149.186,	'2021-11-25	20:25'
149.247,	'2021-11-27	21:39'
149.302,	'2021-11-28	21:07'
149.319,	'2021-11-29	18:48'
149.497,	'2021-12-01	18:39'
149.547,	'2021-12-02	20:10'
149.582,	'2021-12-03	22:51'
149.731,	'2021-12-05	17:22'
149.959,	'2021-12-06	19:02'
150.026,	'2021-12-07	19:35'
150.068,	'2021-12-08	20:11'
150.167,	'2021-12-09	21:27'
150.183,	'2021-12-10	22:46'
150.504,	'2021-12-11	19:51'
150.585,	'2021-12-12	20:02'
150.625,	'2021-12-13	18:52'
150.654,	'2021-12-14	17:43'
150.696,	'2021-12-15	17:52'
150.741,	'2021-12-16	17:25'
150.783,	'2021-12-17	18:49'
150.898,	'2021-12-18	17:58'
150.953,	'2021-12-19	18:02'
151.129,	'2021-12-20	17:08'
151.161,	'2021-12-21	17:43'
151.19 ,	'2021-12-22	20:20'
151.236,	'2021-12-23	19:40'
151.28 ,	'2021-12-24	18:36'
151.321, 	'2021-12-25	20:23'
151.488, 	'2021-12-26	21:06'
151.616, 	'2021-12-27	19:13'
151.653,	'2021-12-28	20:47'
151.688,	'2021-12-29	19:18'
151.753,	'2021-12-30	20:10'
151.959,	'2021-12-31	22:27'
152.335,	'2022-01-02	19:38'
152.481,	'2022-01-03	22:16'
152.616,	'2022-01-04	17:58'
152.809,	'2022-01-05	16:44'
152.986,	'2022-01-06	17:26'
153.118,	'2022-01-07	23:30'
153.244,	'2022-01-08	19:16'
153.313,	'2022-01-09	18:50'
153.438,	'2022-01-10	20:44'
153.682,	'2022-01-11	20:33'
153.718,	'2022-01-12	23:57'
153.738,	'2022-01-13	22:31'
153.76 ,	'2022-01-14	21:15'
153.776,	'2022-01-15	21:50'
153.916,	'2022-01-16	23:16'
154.041,	'2022-01-17	18:04'
154.063,	'2022-01-18	22:06'
154.078,	'2022-01-19	21:52'
154.085,	'2022-01-20	22:07'
154.108,	'2022-01-21	22:10'
154.167,	'2022-01-23	0:12'
154.299,	'2022-01-24	10:04'
154.339,	'2022-01-25	8:26'
154.389,	'2022-01-26	9:37'
154.585,	'2022-01-27	11:14'
155.136,	'2022-01-30	15:26'
155.193,	'2022-01-31	15:32'
155.434,	'2022-02-01	19:14'
155.534,	'2022-02-02	20:08'
155.691,	'2022-02-03	23:03'
155.715,	'2022-02-04	22:56'
155.771,	'2022-02-05	14:34'
155.912,	'2022-02-06	23:19'
156.013,	'2022-02-07	22:59'
156.07 ,	'2022-02-08	18:24'
156.246,	'2022-02-10	8:42'
156.291,	'2022-02-11	8:43'
156.339,	'2022-02-12	18:01'
156.399,	'2022-02-13	13:00'
156.874,	'2022-02-14	8:35'
156.941,	'2022-02-15	7:54'
156.993,	'2022-02-16	10:13'
157.004,	'2022-02-17	7:50'
157.037,	'2022-02-18	7:50'
157.085,	'2022-02-19	14:23'
157.161,	'2022-02-20	11:22'
157.466,	'2022-02-21	7:52'
157.475,	'2022-02-22	7:16'
157.553,	'2022-02-23	14:05'
157.652,	'2022-02-24	8:33'
157.668,	'2022-02-25	7:42'
157.694,	'2022-02-26	8:12'
157.876,	'2022-02-27	8:59'
158.138,	'2022-02-28	10:45'
158.15 ,	'2022-03-01	8:25'
158.249,	'2022-03-02	8:29'
158.286,	'2022-03-03	8:24'
158.306,	'2022-03-04	8:24'
158.334,	'2022-03-05	10:44'
158.427,	'2022-03-06	2:44'
158.556,	'2022-03-07	22:15'
158.726,	'2022-03-09	8:14'
158.793,	'2022-03-10	8:21'
158.896,	'2022-03-12	8:26'
158.94 ,	'2022-03-13	12:19'
159.259,	'2022-03-14	8:34'
159.442,	'2022-03-19	10:26'
159.482,	'2022-03-20	10:40'
159.751,	'2022-03-21	8:37'
159.775,	'2022-03-22	8:16'
159.829,	'2022-03-23	8:04'
159.863,	'2022-03-24	8:04'
159.895,	'2022-03-25	8:35'
160.025,	'2022-03-27	12:43'
160.189,	'2022-03-28	8:07'
160.942,	'2022-04-04	18:40'
160.96 ,	'2022-04-05	7:18'
160.997,	'2022-04-06	7:37'
161.048,	'2022-04-07	7:27'
161.083,	'2022-04-08	9:54'
161.221,	'2022-04-09	10:19'
161.309,	'2022-04-10	10:45'
161.586,	'2022-04-11	6:35'
161.654,	'2022-04-12	7:40'
161.677,	'2022-04-13	7:19'
161.9  ,	'2022-04-14	7:30'
161.919,	'2022-04-15	7:49'
161.98 ,	'2022-04-16	11:44'
162.14 ,	'2022-04-17	12:56'
162.431,	'2022-04-18	7:00'
162.464,	'2022-04-19	7:22'
162.883,	'2022-04-20	7:42'
162.914,	'2022-04-21	7:41'
162.928,	'2022-04-22	7:20'
163.581,	'2022-04-25	7:42'
163.599,	'2022-04-26	8:00'
163.676,	'2022-04-27	8:02'
163.726,	'2022-04-28	8:21'
163.753,	'2022-04-29	8:44'
163.768,	'2022-04-30	12:06'
163.853,	'2022-05-01	17:01'
164.069,	'2022-05-02	13:43'
164.091,	'2022-05-03	11:43'
164.351,	'2022-05-04	8:18'
164.378,	'2022-05-05	7:18'
164.408,	'2022-05-06	8:23'
164.574,	'2022-05-08	13:52'
